index,Price
0,2328666.6666666665
1,844000.0
2,1541666.6666666667
3,566666.6666666666
4,778333.3333333334
5,857666.6666666666
6,513666.6666666667
7,1258333.3333333333
8,622500.0
9,1509666.6666666667
10,2716666.6666666665
11,740166.6666666666
12,1213666.6666666667
13,587500.0
14,715666.6666666666
15,590000.0
16,433000.0
17,730333.3333333334
18,2740000.0
19,404500.0
20,459833.3333333333
21,913666.6666666666
22,1200000.0
23,1230333.3333333333
24,1891666.6666666667
25,759666.6666666666
26,609333.3333333334
27,837333.3333333334
28,647333.3333333334
29,1332000.0
30,575000.0
31,2163333.3333333335
32,352000.0
33,626666.6666666666
34,934066.6666666666
35,391333.3333333333
36,1541666.6666666667
37,524000.0
38,1186000.0
39,532666.6666666666
40,726000.0
41,1080333.3333333333
42,1395666.6666666667
43,272666.6666666667
44,936666.6666666666
45,1209166.6666666667
46,623000.0
47,719000.0
48,548333.3333333334
49,1198333.3333333333
50,840666.6666666666
51,2648629.3333333335
52,678666.6666666666
53,903333.3333333334
54,1612000.0
55,563833.3333333334
56,617000.0
57,1910833.3333333333
58,1431666.6666666667
59,2010000.0
60,532666.6666666666
61,1293333.3333333333
62,1544166.6666666667
63,1010000.0
64,2065000.0
65,1568333.3333333333
66,1683333.3333333333
67,663000.0
68,1840000.0
69,1010833.3333333334
70,683000.0
71,1250000.0
72,1285000.0
73,2030000.0
74,1405000.0
75,1595666.6666666667
76,478000.0
77,1160666.6666666667
78,588333.3333333334
79,2763333.3333333335
80,755500.0
81,720000.0
82,608333.3333333334
83,1648333.3333333333
84,1097333.3333333333
85,773333.3333333334
86,619333.3333333334
87,1087500.0
88,726000.0
89,445333.3333333333
90,604333.3333333334
91,1287666.6666666667
92,1391333.3333333333
93,1688333.3333333333
94,1045333.3333333334
95,2051666.6666666667
96,519333.3333333333
97,2535000.0
98,1695000.0
99,1143333.3333333333
100,650000.0
101,1577333.3333333333
102,1597000.0
103,1873333.3333333333
104,530666.6666666666
105,644000.0
106,1143333.3333333333
107,1179333.3333333333
108,624500.0
109,1354666.6666666667
110,2445000.0
111,899333.3333333334
112,646666.6666666666
113,1183666.6666666667
114,2313333.3333333335
115,738333.3333333334
116,1262333.3333333333
117,2550000.0
118,1116666.6666666667
119,1791666.6666666667
120,2321666.6666666665
121,583500.0
122,1338000.0
123,1030333.3333333334
124,874000.0
125,1498333.3333333333
126,1905000.0
127,784000.0
128,944333.3333333334
129,823833.3333333334
130,472333.3333333333
131,768333.3333333334
132,1274666.6666666667
133,2423333.3333333335
134,670000.0
135,887666.6666666666
136,857166.6666666666
137,801333.3333333334
138,1152666.6666666667
139,726000.0
140,1087500.0
141,1490666.6666666667
142,993333.3333333334
143,1020000.0
144,1015833.3333333334
145,3014000.0
146,2436666.6666666665
147,885333.3333333334
148,3533666.6666666665
149,932666.6666666666
150,529000.0
151,755666.6666666666
152,610000.0
153,727500.0
154,1320066.6666666667
155,1782333.3333333333
156,1468333.3333333333
157,1255333.3333333333
158,647666.6666666666
159,1397000.0
160,934000.0
161,2591666.6666666665
162,1566666.6666666667
163,594333.3333333334
164,736666.6666666666
165,1808333.3333333333
166,1522666.6666666667
167,754000.0
168,554833.3333333334
169,731666.6666666666
170,1195333.3333333333
171,1021500.0
172,695333.3333333334
173,707000.0
174,1057333.3333333333
175,1026666.6666666666
176,502666.6666666667
177,477333.3333333333
178,1351666.6666666667
179,963666.6666666666
180,2870000.0
181,917666.6666666666
182,477666.6666666667
183,770333.3333333334
184,1197666.6666666667
185,1126333.3333333333
186,1677666.6666666667
187,1350000.0
188,830333.3333333334
189,826666.6666666666
190,622500.0
191,926000.0
192,647333.3333333334
193,1278333.3333333333
194,738000.0
195,965000.0
196,890000.0
197,582166.6666666666
198,998666.6666666666
199,867666.6666666666
200,572666.6666666666
201,667266.6666666666
202,734833.3333333334
203,1285000.0
204,1871666.6666666667
205,1801666.6666666667
206,814000.0
207,1702333.3333333333
208,995000.0
209,1161666.6666666667
210,817333.3333333334
211,1026000.0
212,1346666.6666666667
213,1135000.0
214,522333.3333333333
215,588333.3333333334
216,677666.6666666666
217,913333.3333333334
218,1739333.3333333333
219,472166.6666666667
220,1222333.3333333333
221,1418333.3333333333
222,1870000.0
223,1746666.6666666667
224,696000.0
225,1234000.0
226,1105000.0
227,743833.3333333334
228,700333.3333333334
229,556833.3333333334
230,660333.3333333334
231,726666.6666666666
232,758333.3333333334
233,2651666.6666666665
234,1278333.3333333333
235,1353333.3333333333
236,1201166.6666666667
237,963666.6666666666
238,2761666.6666666665
239,2061666.6666666667
240,665000.0
241,783166.6666666666
242,1830000.0
243,1590000.0
244,3837333.3333333335
245,663833.3333333334
246,616666.6666666666
